Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1518,1800,Malig neo endocervix,Cervix cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1519,1801,Malig neo exocervix,Cervix cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1520,1808,Malig neo cervix NEC,Cervix cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1521,1809,Mal neo cervix uteri NOS,Cervix cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1522,181,Malignant neopl placenta,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Low"
1523,1820,Malig neo corpus uteri,Uterus cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",Endometrial C,"Cancer, Low"
1524,1821,Mal neo uterine isthmus,Uterus cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1525,1828,Mal neo body uterus NEC,Uterus cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1526,1830,Malign neopl ovary,Ovary cancer,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1527,1832,Mal neo fallopian tube,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1528,1833,Mal neo broad ligament,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1529,1834,Malig neo parametrium,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1530,1835,Mal neo round ligament,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1531,1838,Mal neo adnexa NEC,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1532,1839,Mal neo adnexa NOS,Fem genit ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1533,1840,Malign neopl vagina,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1534,1841,Mal neo labia majora,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1535,1842,Mal neo labia minora,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1536,1843,Malign neopl clitoris,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1537,1844,Malign neopl vulva NOS,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1538,1848,Mal neo female genit NEC,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1539,1849,Mal neo female genit NOS,Fem genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1540,185,Malign neopl prostate,Prostate can,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",Prostate Canc,"Cancer, Low"
1541,1860,Mal neo undescend testis,Testis cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1542,1869,Malig neo testis NEC,Testis cancr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1543,1871,Malign neopl prepuce,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1544,1872,Malig neo glans penis,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1545,1873,Malig neo penis body,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1546,1874,Malig neo penis NOS,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1547,1875,Malig neo epididymis,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1548,1876,Mal neo spermatic cord,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1549,1877,Malign neopl scrotum,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1550,1878,Mal neo male genital NEC,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1551,1879,Mal neo male genital NOS,Mal genit ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1552,1880,Mal neo bladder-trigone,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1553,1881,Mal neo bladder-dome,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1554,1882,Mal neo bladder-lateral,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1555,1883,Mal neo bladder-anterior,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1556,1884,Mal neo bladder-post,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
