Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
5852,5723,Portal hypertension,Oth liver dx,HCC25 End-Stage Liver Disease,,"Gastrointestinal, Medium"
5853,5724,Hepatorenal syndrome,Oth liver dx,HCC25 End-Stage Liver Disease,Kidney Diseas,"Gastrointestinal, Medium"
5854,5728,"Oth sequela, chr liv dis",Oth liver dx,HCC25 End-Stage Liver Disease,,"Gastrointestinal, Medium"
5855,5730,Chr passiv congest liver,Oth liver dx,,,"Gastrointestinal, High"
5856,5731,Hepatitis in viral dis,Hepatitis,,,"Gastrointestinal, Super Low"
5857,5732,Hepatitis in oth inf dis,Hepatitis,,,"Gastrointestinal, Super Low"
5858,5733,Hepatitis NOS,Hepatitis,,,"Gastrointestinal, Super Low"
5859,5734,Hepatic infarction,Oth liver dx,,,"Gastrointestinal, Super Low"
5860,5735,Hepatopulmonary syndrome,Oth liver dx,HCC25 End-Stage Liver Disease,,"Gastrointestinal, Super Low"
5861,5738,Liver disorders NEC,Oth liver dx,,,"Gastrointestinal, Super Low"
5862,5739,Liver disorder NOS,Oth liver dx,,,"Gastrointestinal, Super Low"
5863,57400,Cholelith w ac cholecyst,Biliary dx,,,"Gastrointestinal, Super Low"
5864,57401,Cholelith/ac gb inf-obst,Biliary dx,,,"Gastrointestinal, Super Low"
5865,57410,Cholelith w cholecys NEC,Biliary dx,,,"Gastrointestinal, Super Low"
5866,57411,Cholelith/gb inf NEC-obs,Biliary dx,,,"Gastrointestinal, Super Low"
5867,57420,Cholelithiasis NOS,Biliary dx,,,"Gastrointestinal, Super Low"
5868,57421,Cholelithias NOS w obstr,Biliary dx,,,"Gastrointestinal, Super Low"
5869,57430,Choledocholith/ac gb inf,Biliary dx,,,"Gastrointestinal, Super Low"
5870,57431,Choledochlith/ac gb-obst,Biliary dx,,,"Gastrointestinal, Super Low"
5871,57440,Choledochlith/gb inf NEC,Biliary dx,,,"Gastrointestinal, Super Low"
5872,57441,Choledochlith/gb NEC-obs,Biliary dx,,,"Gastrointestinal, Super Low"
5873,57450,Choledocholithiasis NOS,Biliary dx,,,"Gastrointestinal, Super Low"
5874,57451,Choledochlith NOS w obst,Biliary dx,,,"Gastrointestinal, Super Low"
5875,57460,Gall&bil cal w/ac w/o ob,Biliary dx,,,"Gastrointestinal, Super Low"
5876,57461,Gall&bil cal w/ac w obs,Biliary dx,,,"Gastrointestinal, Super Low"
5877,57470,Gal&bil cal w/oth w/o ob,Biliary dx,,,"Gastrointestinal, Super Low"
5878,57471,Gall&bil cal w/oth w obs,Biliary dx,,,"Gastrointestinal, Super Low"
5879,57480,Gal&bil cal w/ac&chr w/o,Biliary dx,,,"Gastrointestinal, Super Low"
5880,57481,Gal&bil cal w/ac&ch w ob,Biliary dx,,,"Gastrointestinal, Super Low"
5881,57490,Gall&bil cal w/o cho w/o,Biliary dx,,,"Gastrointestinal, Super Low"
5882,57491,Gall&bil cal w/o ch w ob,Biliary dx,,,"Gastrointestinal, Super Low"
5883,5750,Acute cholecystitis,Biliary dx,,,"Gastrointestinal, Super Low"
5884,57510,Cholecystitis NOS,Biliary dx,,,"Gastrointestinal, Super Low"
5885,57511,Chronic cholecystitis,Biliary dx,,,"Gastrointestinal, Super Low"
5886,57512,Acte & chr cholecystitis,Biliary dx,,,"Gastrointestinal, Super Low"
5887,5752,Obstruction gallbladder,Biliary dx,,,"Gastrointestinal, Super Low"
5888,5753,Hydrops of gallbladder,Biliary dx,,,"Gastrointestinal, Super Low"
5889,5754,Perforation gallbladder,Biliary dx,,,"Gastrointestinal, Super Low"
5890,5755,Fistula of gallbladder,Biliary dx,,,"Gastrointestinal, Super Low"
5891,5756,Gb cholesterolosis,Biliary dx,,,"Gastrointestinal, Super Low"
5892,5758,Dis of gallbladder NEC,Biliary dx,,,"Gastrointestinal, Super Low"
5893,5759,Dis of gallbladder NOS,Biliary dx,,,"Gastrointestinal, Super Low"
5894,5760,Postcholecystectomy synd,Biliary dx,,,"Gastrointestinal, Low"
5895,5761,Cholangitis,Biliary dx,,,"Gastrointestinal, Low"
5896,5762,Obstruction of bile duct,Biliary dx,,,"Gastrointestinal, Low"
5897,5763,Perforation of bile duct,Biliary dx,,,"Gastrointestinal, Low"
5898,5764,Fistula of bile duct,Biliary dx,,,"Gastrointestinal, Low"
5899,5765,Spasm sphincter of oddi,Biliary dx,,,"Gastrointestinal, Low"
5900,5768,Dis of biliary tract NEC,Biliary dx,,,"Gastrointestinal, Low"
5901,5769,Dis of biliary tract NOS,Biliary dx,,,"Gastrointestinal, Low"
5902,5770,Acute pancreatitis,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Low"
5903,5771,Chronic pancreatitis,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Medium"
5904,5772,Pancreat cyst/pseudocyst,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Low"
5905,5778,Pancreatic disease NEC,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Low"
5906,5779,Pancreatic disease NOS,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Low"
5907,5780,Hematemesis,GI hemorrhag,,,"Gastrointestinal, Low"
5908,5781,Blood in stool,GI hemorrhag,,,"Gastrointestinal, Low"
5909,5789,Gastrointest hemorr NOS,GI hemorrhag,,,"Gastrointestinal, Low"
5910,5790,Celiac disease,Other GI dx,HCC32 Pancreatic Disease,,"Gastrointestinal, High"
5911,5791,Tropical sprue,Other GI dx,HCC32 Pancreatic Disease,,"Gastrointestinal, High"
5912,5792,Blind loop syndrome,Other GI dx,HCC32 Pancreatic Disease,,"Gastrointestinal, High"
5913,5793,Intest postop nonabsorb,Complic proc,HCC32 Pancreatic Disease,,"Gastrointestinal, High"
5914,5794,Pancreatic steatorrhea,Pancreas dx,HCC32 Pancreatic Disease,,"Gastrointestinal, High"
5915,5798,Intest malabsorption NEC,Other GI dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Not Well Defined"
5916,5799,Intest malabsorption NOS,Other GI dx,HCC32 Pancreatic Disease,,"Gastrointestinal, Not Well Defined"
5917,5800,Ac proliferat nephritis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5918,5804,Ac rapidly progr nephrit,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5919,58081,Ac nephritis in oth dis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5920,58089,Acute nephritis NEC,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5921,5809,Acute nephritis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5922,5810,"Nephrotic syn, prolifer",Nephritis,HCC132 Nephritis,Kidney Diseas,"Infectious Disease, Super Low"
5923,5811,Epimembranous nephritis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Infectious Disease, Super Low"
5924,5812,Membranoprolif nephrosis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Infectious Disease, Super Low"
5925,5813,Minimal change nephrosis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5926,58181,Nephrotic syn in oth dis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5927,58189,Nephrotic syndrome NEC,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5928,5819,Nephrotic syndrome NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5929,5820,Chr proliferat nephritis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Super Low"
5930,5821,Chr membranous nephritis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Infectious Disease, High"
5931,5822,Chr membranoprolif nephr,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Super Low"
5932,5824,Chr rapid progr nephrit,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Super Low"
5933,58281,Chr nephritis in oth dis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Super Low"
5934,58289,Chronic nephritis NEC,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Super Low"
5935,5829,Chronic nephritis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Infectious Disease, High"
5936,5830,Proliferat nephritis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5937,5831,Membranous nephritis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5938,5832,Membranoprolif nephr NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5939,5834,Rapidly prog nephrit NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5940,5836,Renal cort necrosis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5941,5837,Nephr NOS/medull necros,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5942,58381,Nephritis NOS in oth dis,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5943,58389,Nephritis NEC,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5944,5839,Nephritis NOS,Nephritis,HCC132 Nephritis,Kidney Diseas,"Renal, Medium"
5945,5845,"Ac kidny fail, tubr necr",Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5946,5846,"Ac kidny fail, cort necr",Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5947,5847,"Ac kidny fail, medu necr",Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5948,5848,Acute kidney failure NEC,Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5949,5849,Acute kidney failure NOS,Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5950,5851,Chro kidney dis stage I,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5951,5852,Chro kidney dis stage II,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5952,5853,Chr kidney dis stage III,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5953,5854,Chr kidney dis stage IV,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5954,5855,Chron kidney dis stage V,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5955,5856,End stage renal disease,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5956,5859,Chronic kidney dis NOS,Chr kidney dis,HCC131 Renal Failure,Kidney Diseas,"Renal, Very High"
5957,586,Renal failure NOS,Ac renl fail,HCC131 Renal Failure,Kidney Diseas,"Renal, Super Low"
5958,587,Renal sclerosis NOS,Nephritis,,Kidney Diseas,Renal
5959,5880,Renal osteodystrophy,Ot dx kidney,,Kidney Diseas,"Renal, Medium"
5960,5881,Nephrogen diabetes insip,Ot dx kidney,,Kidney Diseas,"Infectious Disease, Super Low"
5961,58881,Sec hyperparathyrd-renal,Ot dx kidney,,Kidney Diseas,Renal
5962,58889,Impair ren funct dis NEC,Ot dx kidney,,Kidney Diseas,Renal
5963,5889,Impaired renal funct NOS,Ot dx kidney,,Kidney Diseas,"Infectious Disease, Super Low"
5964,5890,Unilateral small kidney,Ot dx kidney,,,"Renal, Super Low"
5965,5891,Bilateral small kidneys,Ot dx kidney,,,"Renal, Super Low"
5966,5899,Small kidney NOS,Ot dx kidney,,,"Renal, Super Low"
5967,59000,Chr pyelonephritis NOS,UTI,,,"Renal, Super Low"
5968,59001,Chr pyeloneph w med necr,UTI,,,"Renal, Super Low"
5969,59010,Ac pyelonephritis NOS,UTI,,,"Renal, Super Low"
5970,59011,Ac pyelonephr w med necr,UTI,,,"Renal, Super Low"
5971,5902,Renal/perirenal abscess,UTI,,,"Renal, Super Low"
5972,5903,Pyeloureteritis cystica,UTI,,,"Renal, Super Low"
5973,59080,Pyelonephritis NOS,UTI,,,"Renal, Super Low"
5974,59081,Pyelonephrit in oth dis,UTI,,,"Renal, Super Low"
5975,5909,Infection of kidney NOS,UTI,,,"Infectious Disease, Super Low"
5976,591,Hydronephrosis,Ot dx kidney,,Kidney Diseas,"Renal, Super Low"
5977,5920,Calculus of kidney,Urin stone,,,"Infectious Disease, Super Low"
5978,5921,Calculus of ureter,Urin stone,,,"Infectious Disease, Super Low"
5979,5929,Urinary calculus NOS,Urin stone,,,"Renal, Super Low"
5980,5930,Nephroptosis,Ot dx kidney,,,"Renal, Low"
5981,5931,Hypertrophy of kidney,Ot dx kidney,,,"Renal, Low"
5982,5932,"Cyst of kidney, acquired",Ot dx kidney,,,"Renal, Low"
5983,5933,Stricture of ureter,Ot dx kidney,,,"Renal, Low"
5984,5934,Ureteric obstruction NEC,Ot dx kidney,,,"Renal, Low"
5985,5935,Hydroureter,Ot dx kidney,,,"Renal, Low"
5986,5936,Postural proteinuria,Ot dx kidney,,,"Renal, Low"
5987,59370,Vescouretrl rflux unspcf,Ot dx kidney,,,"Renal, Low"
5988,59371,Vscurt rflx npht uniltrl,Ot dx kidney,,,"Renal, Low"
5989,59372,Vscourtl rflx npht bltrl,Ot dx kidney,,,"Renal, Low"
5990,59373,Vscourtl rflx w npht NOS,Ot dx kidney,,,"Renal, Low"
5991,59381,Renal vascular disorder,Ot dx kidney,HCC104 Vascular Disease with Complications,,"Renal, Medium"
5992,59382,Ureteral fistula,Ot dx kidney,,,"Renal, Low"
5993,59389,Renal & ureteral dis NEC,Ot dx kidney,,,Renal
5994,5939,Renal & ureteral dis NOS,Ot dx kidney,,,Renal
5995,5940,Blad diverticulum calcul,Urin stone,,,"Renal, Super Low"
5996,5941,Bladder calculus NEC,Urin stone,,,"Renal, Super Low"
5997,5942,Urethral calculus,Urin stone,,,"Renal, Super Low"
5998,5948,Lower urin calcul NEC,Urin stone,,,"Renal, Super Low"
5999,5949,Lower urin calcul NOS,Urin stone,,,"Renal, Super Low"
6000,5950,Acute cystitis,UTI,,,"Renal, Super Low"
6001,5951,Chr interstit cystitis,UTI,,,"Renal, Super Low"
6002,5952,Chronic cystitis NEC,UTI,,,"Renal, Super Low"
6003,5953,Trigonitis,UTI,,,"Renal, Super Low"
6004,5954,Cystitis in oth dis,UTI,,,"Renal, Super Low"
6005,59581,Cystitis cystica,UTI,,,"Renal, Super Low"
6006,59582,Irradiation cystitis,UTI,,,"Renal, Super Low"
6007,59589,Cystitis NEC,UTI,,,"Renal, Super Low"
6008,5959,Cystitis NOS,UTI,,,"Renal, Super Low"
6009,5960,Bladder neck obstruction,Ot dx bladdr,,,"Renal, Low"
6010,5961,Intestinovesical fistula,Ot dx bladdr,,,"Renal, Low"
6011,5962,Vesical fistula NEC,Ot dx bladdr,,,"Renal, Low"
6012,5963,Diverticulum of bladder,Ot dx bladdr,,,"Renal, Low"
6013,5964,Atony of bladder,Ot dx bladdr,,,"Renal, Low"
6014,59651,Hypertonicity of bladder,Ot dx bladdr,,,"Renal, Low"
6015,59652,Low bladder compliance,Ot dx bladdr,,,"Renal, Low"
6016,59653,Paralysis of bladder,Ot dx bladdr,,,"Renal, Low"
6017,59654,Neurogenic bladder NOS,Ot dx bladdr,,,"Renal, Low"
6018,59655,Detrusr sphinc dyssnrgia,Ot dx bladdr,,,"Renal, Low"
6019,59659,Oth func dsdr bladder,Ot dx bladdr,,,Renal
6020,5966,"Bladder rupt, nontraum",Ot dx bladdr,,,"Renal, Low"
6021,5967,Bladder wall hemorrhage,Ot dx bladdr,,,"Renal, Low"
6022,59681,Infection of cystostomy,Complic proc,HCC164 Major Complications of Medical Care and Trauma,,
6023,59682,Mech comp of cystostomy,Complic devi,HCC164 Major Complications of Medical Care and Trauma,,
6024,59683,Other comp of cystostomy,Complic devi,HCC164 Major Complications of Medical Care and Trauma,,
6025,59689,Disorders of bladder NEC,Ot dx bladdr,,,Renal
6026,5969,Bladder disorder NOS,Ot dx bladdr,,,Renal
6027,5970,Urethral abscess,UTI,,,"Renal, Super Low"
6028,59780,Urethritis NOS,UTI,,,"Renal, Super Low"
6029,59781,Urethral syndrome NOS,UTI,,,"Renal, Super Low"
6030,59789,Urethritis NEC,UTI,,,"Renal, Super Low"
6031,59800,Urethr strict:infect NOS,UTI,,,"Renal, Super Low"
6032,59801,Ureth strict:oth infect,UTI,,,"Renal, Super Low"
6033,5981,Traum urethral stricture,Ot dx bladdr,,,"Renal, Super Low"
6034,5982,Postop urethral strictur,Ot dx bladdr,,,"Renal, Super Low"
6035,5988,Urethral stricture NEC,Ot dx bladdr,,,"Renal, Super Low"
6036,5989,Urethral stricture NOS,Ot dx bladdr,,,"Renal, Super Low"
6037,5990,Urin tract infection NOS,UTI,,,"Renal, Super Low"
6038,5991,Urethral fistula,Ot dx bladdr,,,"Renal, Super Low"
6039,5992,Urethral diverticulum,Ot dx bladdr,,,"Renal, Super Low"
6040,5993,Urethral caruncle,Ot dx bladdr,,,"Renal, Super Low"
6041,5994,Urethral false passage,Ot dx bladdr,,,"Renal, Super Low"
6042,5995,Prolapse urethral mucosa,Ot dx bladdr,,,"Renal, Super Low"
6043,59960,Urinary obstruction NOS,Other GU dx,,,"Renal, Super Low"
6044,59969,Urinary obstruction NEC,Other GU dx,,,"Renal, Super Low"
6045,59970,Hematuria NOS,Other GU dx,,,"Renal, Super Low"
6046,59971,Gross hematuria,Other GU dx,,,"Renal, Super Low"
6047,59972,Microscopic hematuria,Other GU dx,,,"Renal, Super Low"
6048,59981,Urethral hypermobility,Ot dx bladdr,,,"Renal, Super Low"
6049,59982,Intrinsc sphnctr dficncy,Ot dx bladdr,,,"Renal, Super Low"
6050,59983,Urethral instability,Ot dx bladdr,,,"Renal, Super Low"
6051,59984,Oth spcf dsdr urethra,Ot dx bladdr,,,Renal
6052,59989,Oth spcf dsdr urnry trct,Other GU dx,,,Renal
6053,5999,Urinary tract dis NOS,Other GU dx,,,Renal
6054,60000,BPH w/o urinary obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6055,60001,BPH w urinary obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6056,60010,Nod prostate w/o ur obst,BPH,,hyperplasia,"Genital, Extra Low"
6057,60011,Nod prostate w ur obst,BPH,,hyperplasia,"Genital, Extra Low"
6058,60020,BPH loc w/o ur obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6059,60021,BPH loc w urin obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6060,6003,Cyst of prostate,BPH,,hyperplasia,"Genital, Extra Low"
6061,60090,BPH NOS w/o ur obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6062,60091,BPH NOS w ur obs/LUTS,BPH,,hyperplasia,"Genital, Extra Low"
6063,6010,Acute prostatitis,Inf male gen,,,"Genital, Super Low"
6064,6011,Chronic prostatitis,Inf male gen,,,"Genital, Super Low"
6065,6012,Abscess of prostate,Inf male gen,,,"Genital, Super Low"
6066,6013,Prostatocystitis,Inf male gen,,,"Genital, Super Low"
6067,6014,Prostatitis in oth dis,Inf male gen,,,"Genital, Super Low"
6068,6018,Prostatic inflam dis NEC,Inf male gen,,,"Genital, Super Low"
6069,6019,Prostatitis NOS,Inf male gen,,,"Genital, Super Low"
6070,6020,Calculus of prostate,Oth male gen,,,"Genital, Super Low"
6071,6021,Prostatic congest/hemorr,Oth male gen,,,"Genital, Super Low"
6072,6022,Atrophy of prostate,Oth male gen,,,"Genital, Super Low"
6073,6023,Dysplasia of prostate,Oth male gen,,,"Genital, Super Low"
6074,6028,Prostatic disorders NEC,Oth male gen,,,"Genital, Super Low"
6075,6029,Prostatic disorder NOS,Oth male gen,,,"Genital, Super Low"
6076,6030,Encysted hydrocele,Oth male gen,,,"Genital, Super Low"
6077,6031,Infected hydrocele,Inf male gen,,,"Genital, Super Low"
6078,6038,Hydrocele NEC,Oth male gen,,,"Genital, Super Low"
6079,6039,Hydrocele NOS,Oth male gen,,,"Genital, Super Low"
6080,6040,Orchitis with abscess,Inf male gen,,,"Genital, Super Low"
6081,60490,Orchitis/epididymit NOS,Inf male gen,,,"Genital, Super Low"
6082,60491,Orchitis in oth disease,Inf male gen,,,"Genital, Super Low"
6083,60499,Orchitis/epididymit NEC,Inf male gen,,,"Genital, Super Low"
6084,605,Redun prepuce & phimosis,Oth male gen,,,"Genital, Super Low"
6085,6060,Azoospermia,Oth male gen,,,"Genital, Super Low"
6086,6061,Oligospermia,Oth male gen,,,"Genital, Super Low"
6087,6068,Male infertility NEC,Oth male gen,,,"Genital, Super Low"
6088,6069,Male infertility NOS,Oth male gen,,,"Genital, Super Low"
6089,6070,Leukoplakia of penis,Oth male gen,,,"Genital, Super Low"
6090,6071,Balanoposthitis,Inf male gen,,,"Genital, Super Low"
6091,6072,"Inflam dis, penis NEC",Inf male gen,,,"Genital, Super Low"
6092,6073,Priapism,Oth male gen,,,"Genital, Super Low"
6093,60781,Balanitis xerotica oblit,Oth male gen,,,"Genital, Super Low"
6094,60782,"Vascular disorder, penis",Oth male gen,,,"Genital, Super Low"
6095,60783,Edema of penis,Oth male gen,,,"Genital, Super Low"
6096,60784,"Impotence, organic orign",Oth male gen,,,"Genital, Super Low"
6097,60785,Peyronie's disease,Oth male gen,,,"Genital, Super Low"
6098,60789,Disorder of penis NEC,Oth male gen,,,"Genital, Super Low"
6099,6079,Disorder of penis NOS,Oth male gen,,,"Genital, Super Low"
6100,6080,Seminal vesiculitis,Inf male gen,,,"Genital, Super Low"
6101,6081,Spermatocele,Oth male gen,,,"Genital, Super Low"
6102,60820,Torsion of testis NOS,Oth male gen,,,"Genital, Super Low"
6103,60821,Extravag tors sperm cord,Oth male gen,,,"Genital, Super Low"
6104,60822,Intravag tors sperm cord,Oth male gen,,,"Genital, Super Low"
6105,60823,Torsion appendix testis,Oth male gen,,,"Genital, Super Low"
6106,60824,Torsion appy epididymis,Oth male gen,,,"Genital, Super Low"
6107,6083,Atrophy of testis,Oth male gen,,,"Genital, Super Low"
6108,6084,Male gen inflam dis NEC,Inf male gen,,,"Genital, Super Low"
6109,60881,Male gen dis in oth dis,Oth male gen,,,"Genital, Super Low"
6110,60882,Hematospermia,Oth male gen,,,"Genital, Super Low"
6111,60883,Male gen vascul dis NEC,Oth male gen,,,"Genital, Super Low"
6112,60884,"Chylocele, tunic vaginal",Oth male gen,,,"Genital, Super Low"
6113,60885,"Stricture, male gen orgn",Oth male gen,,,"Genital, Super Low"
6114,60886,"Edema, male genital orgn",Oth male gen,,,"Genital, Super Low"
6115,60887,Retrograde ejaculation,Oth male gen,,,"Genital, Super Low"
6116,60889,Male genital dis NEC,Oth male gen,,,"Genital, Super Low"
6117,6089,Male genital dis NOS,Oth male gen,,,"Genital, Super Low"
6118,6100,Solitary cyst of breast,Breast dx,,,"Genital, Super Low"
6119,6101,Diffus cystic mastopathy,Breast dx,,,"Genital, Super Low"
6120,6102,Fibroadenosis of breast,Breast dx,,,"Genital, Super Low"
6121,6103,Fibrosclerosis of breast,Breast dx,,,"Genital, Super Low"
6122,6104,Mammary duct ectasia,Breast dx,,,"Genital, Super Low"
6123,6108,Benign mamm dysplas NEC,Breast dx,,,"Genital, Super Low"
6124,6109,Benign mamm dysplas NOS,Breast dx,,,"Genital, Super Low"
6125,6110,Inflam disease of breast,Breast dx,,,"Genital, Super Low"
6126,6111,Hypertrophy of breast,Breast dx,,,"Genital, Super Low"
6127,6112,Fissure of nipple,Breast dx,,,"Genital, Super Low"
6128,6113,Fat necrosis of breast,Breast dx,,,"Genital, Super Low"
6129,6114,Atrophy of breast,Breast dx,,,"Genital, Super Low"
6130,6115,Galactocele,Breast dx,,,"Genital, Super Low"
6131,6116,Galactorrhea-nonobstet,Breast dx,,,"Genital, Super Low"
6132,61171,Mastodynia,Breast dx,,,"Genital, Super Low"
6133,61172,Lump or mass in breast,Breast dx,,,"Genital, Super Low"
6134,61179,Symptoms in breast NEC,Breast dx,,,"Genital, Super Low"
6135,61181,Ptosis of breast,Breast dx,,,"Genital, Super Low"
6136,61182,Hypoplasia of breast,Breast dx,,,"Genital, Super Low"
6137,61183,Capslr contrctr brst imp,Breast dx,,,"Genital, Super Low"
6138,61189,Disorders breast NEC,Breast dx,,,"Genital, Super Low"
6139,6119,Breast disorder NOS,Breast dx,,,"Genital, Super Low"
6140,6120,Deformity reconst breast,Breast dx,,,"Genital, Super Low"
6141,6121,Disproportn reconst brst,Breast dx,,,"Genital, Super Low"
6142,6140,Ac salpingo-oophoritis,PID,,,"Genital, Extra Low"
6143,6141,Chr salpingo-oophoritis,PID,,,"Genital, Extra Low"
6144,6142,Salpingo-oophoritis NOS,PID,,,"Genital, Extra Low"
6145,6143,Acute parametritis,PID,,,"Genital, Extra Low"
6146,6144,Chronic parametritis,PID,,,"Genital, Extra Low"
6147,6145,Ac pelv peritonitis-fem,PID,,,"Genital, Extra Low"
6148,6146,Fem pelvic periton adhes,PID,,,"Genital, Extra Low"
6149,6147,Chr pelv periton NEC-fem,PID,,,"Genital, Extra Low"
6150,6148,Fem pelv inflam dis NEC,PID,,,"Genital, Extra Low"
6151,6149,Fem pelv inflam dis NOS,PID,,,"Genital, Extra Low"
6152,6150,Ac uterine inflammation,PID,,,"Genital, Extra Low"
6153,6151,Chr uterine inflammation,PID,,,"Genital, Extra Low"
6154,6159,Uterine inflam dis NOS,PID,,,"Genital, Extra Low"
6155,6160,Cervicitis,PID,,,"Genital, Super Low"
6156,61610,Vaginitis NOS,PID,,,"Genital, Super Low"
6157,61611,Vaginitis in oth disease,PID,,,"Genital, Super Low"
6158,6162,Bartholin's gland cyst,PID,,,"Genital, Extra Low"
6159,6163,Bartholin's glnd abscess,PID,,,"Genital, Extra Low"
6160,6164,Abscess of vulva NEC,PID,,,"Genital, Extra Low"
6161,61650,Ulceration of vulva NOS,PID,,,"Genital, Extra Low"
6162,61651,Vulvar ulcer in oth dis,PID,,,"Genital, Extra Low"
6163,61681,"Mucositis cerv,vag,vulva",PID,,,"Genital, Super Low"
6164,61689,"Inflm cerv,vag,vulva NEC",PID,,,"Genital, Super Low"
6165,6169,Female gen inflam NOS,PID,,,"Genital, Super Low"
6166,6170,Uterine endometriosis,Endometrios,,,"Genital, Extra Low"
6167,6171,Ovarian endometriosis,Endometrios,,,"Genital, Extra Low"
6168,6172,Tubal endometriosis,Endometrios,,,"Genital, Extra Low"
6169,6173,Pelv perit endometriosis,Endometrios,,,"Genital, Extra Low"
6170,6174,Vaginal endometriosis,Endometrios,,,"Genital, Extra Low"
6171,6175,Intestinal endometriosis,Endometrios,,,"Genital, Extra Low"
6172,6176,Endometriosis in scar,Endometrios,,,"Genital, Extra Low"
6173,6178,Endometriosis NEC,Endometrios,,,"Genital, Extra Low"
6174,6179,Endometriosis NOS,Endometrios,,,"Genital, Extra Low"
6175,61800,Vaginal wall prolpse NOS,Prolapse,,,"Genital, Extra Low"
6176,61801,"Cystocele, midline",Prolapse,,,"Genital, Extra Low"
6177,61802,"Cystocele, lateral",Prolapse,,,"Genital, Extra Low"
6178,61803,Urethrocele,Prolapse,,,"Genital, Extra Low"
6179,61804,Rectocele,Prolapse,,,"Genital, Extra Low"
6180,61805,Perineocele,Prolapse,,,"Genital, Extra Low"
6181,61809,Cystourethrocele,Prolapse,,,"Genital, Extra Low"
6182,6181,Uterine prolapse,Prolapse,,,"Genital, Extra Low"
6183,6182,Uterovag prolaps-incompl,Prolapse,,,"Genital, Extra Low"
6184,6183,Uterovag prolaps-complet,Prolapse,,,"Genital, Extra Low"
6185,6184,Utervaginal prolapse NOS,Prolapse,,,"Genital, Extra Low"
6186,6185,Postop vaginal prolapse,Prolapse,,,"Genital, Extra Low"
6187,6186,Vaginal enterocele,Prolapse,,,"Genital, Extra Low"
6188,6187,Old lacer pelvic muscle,Prolapse,,,"Genital, Extra Low"
